quant_name	age_idx1	age_idx2	rg_mean	rg_se	rg_diff_1	rg_diff_1_zscore	rg_diff_p
FEV1_FVC	1	2	0.9502	0.0495	-0.0498	-1.00606060606061	0.157193208571562
FEV1_FVC	1	3	0.9754	0.0625	-0.0246	-0.393599999999999	0.346938190611857
FEV1_FVC	1	4	1.0416	0.0684	0.0416000000000001	0.608187134502925	0.728468316755991
FEV1_FVC	1	5	0.8895	0.0709	-0.1105	-1.55853314527504	0.0595534585734548
FEV1_FVC	2	3	1.0305	0.0605	0.0305	0.504132231404958	0.692915770666098
FEV1_FVC	2	4	0.997	0.0593	-0.003	-0.0505902192242834	0.479826028387385
FEV1_FVC	2	5	0.875	0.0718	-0.125	-1.74094707520891	0.0408464279831558
FEV1_FVC	3	4	1.0625	0.0798	0.0625	0.783208020050125	0.78324751698358
FEV1_FVC	3	5	1.0311	0.0909	0.0310999999999999	0.342134213421341	0.633875054598199
FEV1_FVC	4	5	1.0397	0.0807	0.0397000000000001	0.49194547707559	0.688621056020057
cov_SMOKING_STATUS	1	2	1.1588	0.0917	0.1588	1.73173391494002	0.958339525394161
cov_SMOKING_STATUS	1	3	0.978	0.091	-0.022	-0.241758241758242	0.404483748708129
cov_SMOKING_STATUS	1	4	1.0049	0.0839	0.0048999999999999	0.0584028605482706	0.523286131862181
cov_SMOKING_STATUS	1	5	0.9755	0.0831	-0.0245	-0.294825511432009	0.384063588445823
cov_SMOKING_STATUS	2	3	1.0185	0.0902	0.0185	0.20509977827051	0.581252915167157
cov_SMOKING_STATUS	2	4	0.9778	0.0922	-0.0222	-0.240780911062907	0.404862462593536
cov_SMOKING_STATUS	2	5	1.0128	0.0948	0.0127999999999999	0.135021097046413	0.553702402979303
cov_SMOKING_STATUS	3	4	0.8849	0.0866	-0.1151	-1.32909930715935	0.0919076044216298
cov_SMOKING_STATUS	3	5	0.9883	0.0895	-0.0117	-0.130726256983241	0.447995930258243
cov_SMOKING_STATUS	4	5	0.9164	0.089	-0.0836	-0.939325842696629	0.173781737118015
biochemistry_HbA1c_corrected	1	2	1.0734	0.1132	0.0733999999999999	0.648409893992932	0.741640063630063
biochemistry_HbA1c_corrected	1	3	0.9852	0.0935	-0.0148	-0.158288770053476	0.437114628392707
biochemistry_HbA1c_corrected	1	4	0.8977	0.087	-0.1023	-1.17586206896552	0.119824999212164
biochemistry_HbA1c_corrected	1	5	0.9044	0.0874	-0.0956	-1.09382151029748	0.137016634078322
biochemistry_HbA1c_corrected	2	3	0.8259	0.0819	-0.1741	-2.12576312576313	0.0167614938940883
biochemistry_HbA1c_corrected	2	4	0.9506	0.0914	-0.0494	-0.540481400437637	0.294432542259228
biochemistry_HbA1c_corrected	2	5	1.0401	0.0915	0.0401	0.438251366120219	0.669397961667786
biochemistry_HbA1c_corrected	3	4	0.9342	0.0731	-0.0658	-0.900136798905608	0.184023727416573
biochemistry_HbA1c_corrected	3	5	0.8919	0.0678	-0.1081	-1.59439528023599	0.0554237644427837
biochemistry_HbA1c_corrected	4	5	0.9622	0.071	-0.0377999999999999	-0.532394366197182	0.297226443163134
biochemistry_LDLdirect_corrected	1	2	0.9795	0.0379	-0.0205	-0.540897097625329	0.294289255760912
biochemistry_LDLdirect_corrected	1	3	0.8618	0.0485	-0.1382	-2.84948453608247	0.0021895067214875
biochemistry_LDLdirect_corrected	1	4	0.9022	0.0424	-0.0978	-2.30660377358491	0.0105384594947858
biochemistry_LDLdirect_corrected	1	5	0.8957	0.0495	-0.1043	-2.10707070707071	0.0175557255199555
biochemistry_LDLdirect_corrected	2	3	1.0038	0.0403	0.00380000000000003	0.094292803970224	0.537561716976225
biochemistry_LDLdirect_corrected	2	4	0.8911	0.0474	-0.1089	-2.29746835443038	0.0107960331578187
biochemistry_LDLdirect_corrected	2	5	0.9908	0.0462	-0.00919999999999999	-0.199134199134199	0.42107888493629
