binary_name,age_bin_idx,age_median_quintile,cox_effects,cox_se,observed_R2,observed_R2_se,logistic_effect,logistic_se,linear_effect,linear_se
asthma,3,52.671415,0.203509257161928,0.0138328498460454,0.020655346299882,0.00274261295314525,0.294524463592526,0.0201573781707903,0.0717549923882446,0.00481274829083124
asthma,4,60.2579863013698,0.195408271776501,0.0138735641967554,0.0191655154159035,0.00264587122894754,0.283476560370279,0.0201279902436403,0.0691361656343131,0.00481671102972377
asthma,5,68.7432465753425,0.157227564973584,0.0137933477678422,0.0144064435004569,0.00230520516708063,0.243828559284267,0.0199322155522435,0.0600021678762052,0.00483623759514405
anemia,1,43.8873565479452,0.0810560625657772,0.0198050438698165,0.00224380624377031,0.00129608089534757,0.103854503344925,0.0296981623020018,0.0229937597185509,0.00654951382127854
anemia,2,55.6715022465754,0.0652046207146398,0.0193812650245294,0.00218149545311409,0.00127803783317738,0.0971912178639684,0.0281222676771488,0.0239522488225833,0.00691901093253611
anemia,3,63.9265753424658,0.0819994110152503,0.0197517599222324,0.0027158217385932,0.00142522870171816,0.10801020106934,0.0280189384675357,0.0268349492802818,0.00694683771504387
anemia,4,69.7008599452055,0.0686717078982986,0.0194480727832116,0.00257518463053122,0.0013880316062781,0.105566695408878,0.0280848406094106,0.0261804610073608,0.00695053701299757
anemia,5,75.7123013698631,0.0558923217446684,0.0195826397865487,0.00272617271780294,0.00142792732895331,0.108901127308788,0.0281241369105273,0.0269796604991045,0.00695326347988149
highlipid,1,47.8231911643836,0.260817250127289,0.0230905171793992,0.0362719106596316,0.00607774276107015,0.40761593949987,0.0360744892355923,0.0925343648581061,0.00789180941786801
highlipid,2,55.8696420958904,0.237073055103779,0.0233324627219513,0.0284775811473576,0.00542958316825967,0.351157324188166,0.0348952230837699,0.083919973146096,0.00810862639805113
highlipid,3,60.915537260274,0.207149964109317,0.0222279136288367,0.0248028708095764,0.00508564417187888,0.327737395040893,0.0349275516490499,0.0781792798523727,0.0081189604672877
highlipid,4,65.5853830684932,0.14956715949765,0.0231028404304916,0.0140548964711155,0.00387104904728172,0.243069998695832,0.0341635890118322,0.0587222696664053,0.00814797793538747
highlipid,5,72.5422739726028,0.0643009721076542,0.0235446591820247,0.00223795969437895,0.00156320243031663,0.0959286897607774,0.0335550959887613,0.0235224190947157,0.00822279182588008
